Year,Assesment Type,Mammals,Birds,Reptiles,Amphibians,Fishes,Insects,Molluscs,Crustaceans,Corals,Arachnids,"Velvet
worms",Horseshoe crabs,Other invertebrates,Mosses,Ferns & allies,Gymnosperms,Flowering plants,Green algae,Red algae,"Subtotal
(Plants)",Lichens,Mushrooms,Brown algae
2021,Total assessed,5954,11158,9132,7215,22349,11480,8934,3189,863,393,11,4,887,282,728,1016,54145,16,58,56245,76,469,15
2021,Total threatened,1327,1481,1587,2444,3280,1959,2340,743,236,218,9,2,146,165,280,403,21646,0,9,22503,56,206,6
2020,Total assessed,5940,11158,8492,7212,22005,10865,8847,3188,864,358,11,4,842,282,674,1016,48323,16,58,50369,55,353,15
2020,Total threatened,1323,1481,1458,2442,3210,1926,2300,742,237,203,9,2,148,165,265,403,19518,0,9,20360,48,185,6
2019,Total assessed,5850,11147,7829,6794,19199,8696,8749,3181,864,344,11,4,839,281,641,1014,36623,13,58,38630,27,253,15
2019,Total threatened,1244,1486,1409,2200,2674,1647,2250,733,237,197,9,2,146,164,261,402,14938,0,9,15774,24,140,6
2018,Total assessed,5692,11126,7127,6722,16803,8037,8627,3180,864,324,11,4,839,102,558,1012,25771,13,58,27514,23,43,15
2018,Total threatened,1219,1492,1307,2092,2332,1537,2195,733,237,182,9,1,146,76,249,401,12564,0,9,13299,20,33,6
2017,Total assessed,5674,11122,6278,6609,16409,7639,8413,3177,864,249,11,4,773,102,479,1012,22566,13,58,24230,13,43,15
2017,Total threatened,1204,1469,1215,2100,2386,1414,2187,732,237,170,9,1,143,76,246,401,11773,0,9,12505,10,33,6
2016,Total assessed,5567,11121,5338,6534,16134,6587,7276,3177,862,212,11,4,480,102,417,1011,20652,13,58,22253,8,25,15
2016,Total threatened,1194,1460,1079,2068,2359,1268,1984,732,237,166,9,1,73,76,217,400,10941,0,9,11643,7,21,6
2015,Total assessed,5502,10424,4669,6460,14462,5573,7216,3168,862,210,11,4,472,102,365,1011,19206,13,58,20755,9,25,15
2015,Total threatened,1197,1375,944,1994,2271,1046,1950,728,237,164,9,0,67,76,197,400,10551,0,9,11233,7,22,6
2014,Total assessed,5513,10425,4414,6414,12457,5304,7217,3164,856,209,11,4,453,102,360,1010,18195,13,58,19738,4,1,15
2014,Total threatened,1199,1373,927,1957,2222,993,1950,725,235,163,9,0,65,76,194,400,9905,0,9,10584,4,1,6
2013,Total assessed,5506,10065,4204,6409,11172,4610,6809,3163,856,35,11,4,423,102,342,1010,16766,13,58,18291,2,1,15
2013,Total threatened,1143,1308,879,1950,2110,896,1898,723,235,21,9,0,40,76,187,399,9394,0,9,10065,2,1,6
2012,Total assessed,5501,10064,3755,6374,10590,4003,6183,2399,858,34,11,4,50,102,311,1012,14178,13,58,15674,2,1,15
2012,Total threatened,1139,1313,807,1933,2058,829,1857,596,236,20,9,0,23,76,167,374,8764,0,9,9390,2,1,6
2011,Total assessed,5499,10052,3336,6338,9554,3844,5422,2399,856,33,11,4,52,101,310,1020,12994,13,58,14496,2,1,15
2011,Total threatened,1138,1253,772,1917,2028,741,1673,596,235,19,9,0,24,80,163,377,8527,0,9,9156,2,1,6
2010,Total assessed,5491,10027,2806,6296,8848,3269,3149,2152,856,33,11,4,52,101,243,926,11584,2,58,12914,2,1,15
2010,Total threatened,1131,1240,594,1898,1851,733,1288,596,235,19,9,0,24,80,148,371,8116,0,9,8724,2,1,6
2009,Total assessed,5490,9998,1677,6285,4443,2619,2306,1735,856,32,11,4,52,95,211,909,10876,2,58,12151,2,1,15
2009,Total threatened,1142,1223,469,1895,1414,711,1036,606,235,18,9,0,24,82,139,322,7948,0,9,8500,2,1,6
2008,Total assessed,5488,9990,1385,6260,3481,1259,2212,1735,856,32,11,4,52,95,211,910,10779,2,58,12055,2,1,15
2008,Total threatened,1141,1222,423,1905,1275,626,978,606,235,18,9,0,24,82,139,323,7904,0,9,8457,2,1,6
2007,Total assessed,4863,9956,1385,5915,3119,1255,2212,553,13,18,11,4,50,92,211,909,10771,2,58,12043,2,1,15
2007,Total threatened,1094,1217,422,1808,1201,623,978,460,5,10,9,0,23,79,139,321,7899,0,9,8447,2,1,6
2006,Total assessed,4864,9934,664,5918,2912,1192,2163,537,2,18,11,4,51,93,212,908,10688,0,0,11901,2,1,0
2006,Total threatened,1093,1206,341,1811,1171,623,975,459,1,10,9,0,24,80,139,306,7865,0,0,8390,2,1,0
2004,Total assessed,4853,9917,499,5743,1721,771,2163,498,2,18,11,4,20,93,210,907,10614,0,0,11824,2,0,0
2004,Total threatened,1101,1213,304,1770,800,559,974,429,1,10,9,0,10,80,140,305,7796,0,0,8321,2,0,0
2003,Total assessed,4789,2139,473,401,1532,768,2098,461,2,18,11,4,20,93,180,907,8526,0,0,9706,2,0,0
2003,Total threatened,1130,1194,293,157,750,553,967,409,1,10,9,0,10,80,111,304,6279,0,0,6774,2,0,0
2002,Total assessed,2150,2138,453,263,1265,747,2018,459,2,18,11,4,19,83,0,251,6816,0,0,7150,0,0,0
2002,Total threatened,1137,1192,293,157,742,557,939,409,1,10,6,0,10,80,0,142,5492,0,0,5714,0,0,0
2000,Total assessed,2133,2123,454,231,1267,747,2017,459,2,18,11,4,19,83,0,251,6688,0,0,7022,0,0,0
2000,Total threatened,1130,1183,296,146,752,555,938,408,1,10,6,0,10,80,0,141,5390,0,0,5611,0,0,0
1996/1998,Total assessed,2067,2167,428,198,1194,730,1958,458,2,18,11,4,19,0,0,-,-,0,0,-,0,0,0
1996/1998,Total threatened,1096,1107,253,124,734,537,920,407,1,11,6,0,9,0,0,142,5186,0,0,5328,0,0,0
